Date,Energy
2019-12-23,40
2019-12-24,31
2019-12-25,23
2019-12-26,35
2019-12-27,24
2019-12-28,22
2019-12-29,35
2019-12-30,35
2019-12-31,17
2020-01-01,33
2020-01-02,38
2020-01-03,24
2020-01-04,43
2020-01-05,38
2020-01-06,35
2020-01-07,156
2020-01-08,27
2020-01-09,55
2020-01-10,57
2020-01-11,48
2020-01-12,46
2020-01-13,49
2020-01-14,40
2020-01-15,35
2020-01-16,36
2020-01-17,53
2020-01-18,46
2020-01-19,47
2020-01-20,55
2020-01-21,86
2020-01-22,72
2020-01-23,65
2020-01-24,44
2020-01-25,37
2020-01-26,45
2020-01-27,93
2020-01-28,93
2020-01-29,154
2020-01-30,100
2020-01-31,92
2020-02-01,48
2020-02-02,33
2020-02-03,38
2020-02-04,31
2020-02-05,33
2020-02-06,50
2020-02-07,51
2020-02-08,38
2020-02-09,37
2020-02-10,44
2020-02-11,48
2020-02-12,158
2020-02-13,51
2020-02-14,37
2020-02-15,41
2020-02-16,34
2020-02-17,70
2020-02-18,54
2020-02-19,267
2020-02-20,52
2020-02-21,52
2020-02-22,49
2020-02-23,67
2020-02-24,66
2020-02-25,70
2020-02-26,227
2020-02-27,93
2020-02-28,75
2020-02-29,48
2020-03-01,48
2020-03-02,57
2020-03-03,82
2020-03-04,84
2020-03-05,59
2020-03-06,57
2020-03-07,58
2020-03-08,48
2020-03-09,71
2020-03-10,66
2020-03-11,72
2020-03-12,72
2020-03-13,100
2020-03-14,38
2020-03-15,43
2020-03-16,27
2020-03-19,41
2020-03-20,63
2020-03-21,42
2020-03-22,33
2020-03-23,45
2020-03-24,50
2020-03-25,71
2020-03-26,21
2020-03-28,18
2020-03-29,37
2020-03-30,48
2020-03-31,47
2020-04-01,81
2020-04-02,65
2020-04-03,87
2020-04-04,31
2020-04-05,13
2020-04-06,43
2020-04-07,79
2020-04-08,58
2020-04-09,41
2020-04-10,62
2020-04-11,42
2020-04-12,45
2020-04-13,33
2020-04-14,54
2020-04-15,41
2020-04-16,46
2020-04-17,26
2020-04-18,31
2020-04-19,46
2020-04-20,36
2020-04-21,39
2020-04-22,31
2020-04-23,9
2020-04-24,6
2020-04-25,15
2020-04-26,7
2020-04-27,13
2020-04-28,61
2020-04-29,4
2020-04-30,3
2020-05-01,6
2020-05-02,12
2020-05-03,5
2020-05-04,12
2020-05-05,9
2020-05-06,11
2020-05-07,76
2020-05-08,29
2020-05-09,13
2020-05-10,22
2020-05-11,22
2020-05-12,21
2020-05-13,16
2020-05-14,17
2020-05-15,15
2020-05-16,16
2020-05-17,13
2020-05-18,21
2020-05-19,16
2020-05-20,31
2020-05-21,14
2020-05-22,13
2020-05-23,4
2020-05-24,3
2020-05-25,17
2020-05-26,16
2020-05-27,40
2020-05-28,12
2020-05-29,14
2020-05-30,5
2020-05-31,11
2020-06-01,19
2020-06-02,19
2020-06-03,14
2020-06-04,11
2020-06-05,7
2020-06-06,5
2020-06-07,5
2020-06-08,7
2020-06-09,13
2020-06-10,7
2020-06-11,4
2020-06-12,6
2020-06-13,5
2020-06-14,1
2020-06-15,11
2020-06-16,17
2020-06-17,16
2020-06-18,24
2020-06-19,23
2020-06-20,28
2020-06-21,34
2020-06-22,31
2020-06-23,25
2020-06-24,62
2020-06-25,26
2020-06-26,43
2020-06-27,47
2020-06-28,73
2020-06-29,59
2020-06-30,114
2020-07-01,103
2020-07-02,52
2020-07-03,29
2020-07-04,19
2020-07-05,9
2020-07-06,31
2020-07-07,33
2020-07-08,22
2020-07-09,25
2020-07-10,29
2020-07-11,25
2020-07-12,11
2020-07-13,7
2020-07-15,11
2020-07-16,18
2020-07-17,11
2020-07-18,39
2020-07-19,10
2020-07-20,26
2020-07-21,65
2020-07-22,36
2020-07-23,45
2020-07-24,36
2020-07-25,37
2020-07-26,28
2020-07-27,29
2020-07-28,42
2020-07-29,101
2020-07-30,126
2020-07-31,141
2020-08-01,85
2020-08-02,24
2020-08-03,25
2020-08-04,29
2020-08-05,12
2020-08-06,15
2020-08-07,11
